protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,label
9606.ENSP00000360268,0,0,0,0,0.052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106465372,0.125523013,0.004359198,0.101449275,0.016666667,0.0,0.023608769,0.0,0.0,0.090349076,0.048192771,0.0,0.069767442,0.0,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.116442738,0.2542848,2.76e-05,1,1,1,1,0,0,7.33e-05,4.25e-05,1.9e-05,0
9606.ENSP00000360268,0,0,0,0,0.064327485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115276686,0.027894003,0.091543156,0.09178744,0.016666667,0.052631579,0.011804384,0.0,0.0,0.127310062,0.0,0.078817734,0.058139535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.12929196,0.251053425,2.95e-05,1,1,1,1,0,0,6.78e-05,3.83e-05,1.71e-05,0
9606.ENSP00000360268,0,0,0,0,0.035087719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064653721,0.0,0.004359198,0.125603865,0.0,0.0,0.006745363,0.0,0.0,0.055441478,0.0,0.014778325,0.081395349,0.0,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.06851141,0.2810368,4e-05,1,1,1,1,0,0,7.49e-05,4.42e-05,2.01e-05,0
9606.ENSP00000360268,0,0,0,0,0.005847953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032551353,0.025104603,0.005231037,0.033816425,0.0,0.0,0.001686341,0.0,0.0,0.028062971,0.0,0.0,0.023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.034975475,0.2768128,3.51e-06,1,1,1,1,0,0,5.53e-05,2.34e-05,7e-06,0
9606.ENSP00000360268,0,0,0,0,0.023391813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065327197,0.0,0.101133391,0.048309179,0.0,0.052631579,0.003372681,0.0,0.0,0.061601643,0.0,0.078817734,0.034883721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.074962679,0.250548795,4.07e-05,1,1,1,1,0,0,6.59e-05,3.56e-05,1.5e-05,0
9606.ENSP00000360268,0,0,0,0,0.046783626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11050623,0.0,0.088927637,0.115942029,0.0,0.0,0.011804384,0.0,0.0,0.110882957,0.0,0.078817734,0.046511628,0.0,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.122254212,0.251053425,2.66e-05,1,1,1,1,0,0,6.74e-05,3.73e-05,1.62e-05,0
9606.ENSP00000360268,0,0,0,0,0.011695906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045628017,0.0,0.0,0.086956522,0.0,0.0,0.001686341,0.0,0.0,0.046543463,0.0,0.0,0.046511628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.048304543,0.290697792,3.66e-05,1,1,1,1,0,0,5.84e-05,2.75e-05,1e-05,0
9606.ENSP00000360268,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016444045,0.039051604,0.028770706,0.028985507,0.0,0.052631579,0.0,0.0,0.0,0.013004791,0.0,0.024630542,0.023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.020633397,0.2810368,3.04e-06,1,1,1,1,1,0,5.42e-05,2.23e-05,6.37e-06,0
9606.ENSP00000360268,0,0,0,0,0.005847953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045628017,0.012552301,0.005231037,0.062801932,0.0,0.0,0.006745363,0.0,0.0,0.034223135,0.018072289,0.0,0.023255814,0.037037037,0.0,0.032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.04819791,0.2810368,2.38e-06,1,1,1,1,0,0,5.59e-05,2.4e-05,7.2e-06,0
9606.ENSP00000360268,0,0,0,0,0.046783626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084016163,0.011157601,0.003487358,0.120772947,0.0,0.0,0.003372681,0.04,0.0,0.062286105,0.0,0.014778325,0.058139535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.087651951,0.2810368,3.26e-05,1,1,1,1,0,0,7.71e-05,4.71e-05,2.22e-05,0
9606.ENSP00000360268,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021102256,0.030683403,0.028770706,0.028985507,0.016666667,0.052631579,0.0,0.0,0.0,0.016427105,0.0,0.024630542,0.023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.025058648,0.2804736,2.83e-06,1,1,1,1,1,0,5.54e-05,2.32e-05,6.74e-06,0
9606.ENSP00000360268,0,0,0,0,0.099415205,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.189808059,0.020920502,0.06277245,0.169082126,0.0,0.052631579,0.015177066,0.0,0.0,0.22587269,0.024096386,0.02955665,0.104651163,0.0,0.0,0.112903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.207453615,0.252062685,2.29e-05,1,1,1,1,0,0,7.53e-05,4.56e-05,2.15e-05,0
