protein,RNA line ab,binary_RNA line ab,RNA line ab_y,binary_RNA line ab_y,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000459533,149.6,1,73.7,1.0,75.89999999999999,75.89999999999999,0
9606.ENSP00000247668,75.2,1,73.7,1.0,1.5,1.5,0
9606.ENSP00000485323,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000480150,31.7,1,73.7,1.0,-42.0,42.0,0
9606.ENSP00000362361,40.2,1,73.7,1.0,-33.5,33.5,0
9606.ENSP00000325414,24.1,1,73.7,1.0,-49.6,49.6,0
9606.ENSP00000378132,4.3,1,73.7,1.0,-69.4,69.4,0
9606.ENSP00000396270,16.6,1,73.7,1.0,-57.1,57.1,0
9606.ENSP00000362109,3.4,1,73.7,1.0,-70.3,70.3,0
9606.ENSP00000164305,13.9,1,73.7,1.0,-59.8,59.8,0
9606.ENSP00000243052,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000298097,11.3,1,73.7,1.0,-62.400000000000006,62.400000000000006,0
9606.ENSP00000362260,0.6,1,73.7,1.0,-73.10000000000001,73.10000000000001,0
9606.ENSP00000271227,0.8,1,73.7,1.0,-72.9,72.9,0
9606.ENSP00000481854,5.2,1,73.7,1.0,-68.5,68.5,0
9606.ENSP00000315070,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000324464,72.6,1,73.7,1.0,-1.1000000000000083,1.1000000000000083,0
9606.ENSP00000450607,41.3,1,73.7,1.0,-32.400000000000006,32.400000000000006,0
9606.ENSP00000295746,17.7,1,73.7,1.0,-56.0,56.0,0
9606.ENSP00000368447,5.9,1,73.7,1.0,-67.8,67.8,0
9606.ENSP00000485066,0.4,1,73.7,1.0,-73.3,73.3,0
9606.ENSP00000312457,1.1,1,73.7,1.0,-72.60000000000001,72.60000000000001,0
9606.ENSP00000357645,4.2,1,73.7,1.0,-69.5,69.5,0
9606.ENSP00000468263,16.4,1,73.7,1.0,-57.3,57.3,0
9606.ENSP00000365160,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000331470,0.4,1,73.7,1.0,-73.3,73.3,0
