,gene_id,hpa_location,provenance,StringID
270,USP27X,cytosol:cytoplasm,uniprot,9606.ENSP00000483631
271,USP27X,nucleus,uniprot,9606.ENSP00000483631
272,TUBB8B,cytoplasm,uniprot,9606.ENSP00000309431
273,TUBB8B,microtubules:cytoplasm,uniprot,9606.ENSP00000309431
274,TUBB8B,actin filaments:cytoplasm,uniprot,9606.ENSP00000309431
275,TUBB8B,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000309431
276,TTLL8,cytoplasm,uniprot,9606.ENSP00000392252
277,TTLL8,microtubules:cytoplasm,uniprot,9606.ENSP00000392252
278,TTLL8,actin filaments:cytoplasm,uniprot,9606.ENSP00000392252
279,TTLL8,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000392252
280,TTLL8,plasma membrane:endomembrane system,uniprot,9606.ENSP00000392252
281,ZSWIM8,cytoplasm,uniprot,9606.ENSP00000381693
282,ZSWIM8,cytosol:cytoplasm,uniprot,9606.ENSP00000381693
283,MYH7B,plasma membrane:endomembrane system,uniprot,9606.ENSP00000262873
284,MYH7B,nuclear membrane:nucleus,uniprot,9606.ENSP00000262873
285,ARHGAP32,plasma membrane:endomembrane system,uniprot,9606.ENSP00000310561
286,ARHGAP32,microtubules:cytoplasm,uniprot,9606.ENSP00000310561
287,ARHGAP32,actin filaments:cytoplasm,uniprot,9606.ENSP00000310561
288,ARHGAP32,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000310561
289,ARHGAP32,cytoplasm,uniprot,9606.ENSP00000310561
290,ARHGAP32,endosomes:vesicles:endomembrane system,uniprot,9606.ENSP00000310561
291,ARHGAP32,golgi apparatus:endomembrane system,uniprot,9606.ENSP00000310561
292,ARHGAP32,endoplasmic reticulum:endomembrane system,uniprot,9606.ENSP00000310561
293,ARHGAP32,nuclear membrane:nucleus,uniprot,9606.ENSP00000310561
294,SRRM4,nucleus,uniprot,9606.ENSP00000267260
295,POM121C,nucleus,uniprot,9606.ENSP00000481575
296,POM121C,nuclear membrane:nucleus,uniprot,9606.ENSP00000481575
297,POM121C,plasma membrane:endomembrane system,uniprot,9606.ENSP00000481575
298,POM121C,endoplasmic reticulum:endomembrane system,uniprot,9606.ENSP00000481575
299,WASHC1,endosomes:vesicles:endomembrane system,uniprot,9606.ENSP00000485627
300,WASHC1,vesicles:endomembrane system,uniprot,9606.ENSP00000485627
301,WASHC1,cytoplasm,uniprot,9606.ENSP00000485627
302,WASHC1,microtubules:cytoplasm,uniprot,9606.ENSP00000485627
303,WASHC1,actin filaments:cytoplasm,uniprot,9606.ENSP00000485627
304,WASHC1,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000485627
305,WASHC1,centrosome:cytoplasm,uniprot,9606.ENSP00000485627
306,A2ML1,secreted proteins:secretory,uniprot,9606.ENSP00000299698
307,CD300LB,plasma membrane:endomembrane system,uniprot,9606.ENSP00000376397
308,CLCA1,secreted proteins:secretory,uniprot,9606.ENSP00000234701
309,CLCA1,secretory,uniprot,9606.ENSP00000234701
310,CLCA1,plasma membrane:endomembrane system,uniprot,9606.ENSP00000234701
313,SFI1,cytoplasm,uniprot,9606.ENSP00000383145
314,SFI1,microtubules:cytoplasm,uniprot,9606.ENSP00000383145
315,SFI1,actin filaments:cytoplasm,uniprot,9606.ENSP00000383145
316,SFI1,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000383145
317,SFI1,centrosome:cytoplasm,uniprot,9606.ENSP00000383145
318,ZNF785,nucleus,uniprot,9606.ENSP00000378642
319,GABRR3,plasma membrane:endomembrane system,uniprot,9606.ENSP00000481321
320,NEURL1B,cytoplasm,uniprot,9606.ENSP00000358815
321,CENPX,nucleus,uniprot,9606.ENSP00000376168
322,CENPX,kinetochore:nucleoplasm:nucleus,uniprot,9606.ENSP00000376168
327,GNAT3,cytoplasm,uniprot,9606.ENSP00000381339
328,FOXI3,nucleus,uniprot,9606.ENSP00000478384
329,NOTO,nucleus,uniprot,9606.ENSP00000381486
330,BBIP1,plasma membrane:endomembrane system,uniprot,9606.ENSP00000433157
331,BBIP1,microtubules:cytoplasm,uniprot,9606.ENSP00000433157
332,BBIP1,actin filaments:cytoplasm,uniprot,9606.ENSP00000433157
333,BBIP1,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000433157
334,BBIP1,cytoplasm,uniprot,9606.ENSP00000433157
335,SMTNL1,cytoplasm,uniprot,9606.ENSP00000432651
336,SMTNL1,nucleus,uniprot,9606.ENSP00000432651
337,CSKMT,mitochondria:cytoplasm,uniprot,9606.ENSP00000431287
338,VGLL3,nucleus,uniprot,9606.ENSP00000381436
339,HEPACAM2,golgi apparatus:endomembrane system,uniprot,9606.ENSP00000390204
340,HEPACAM2,plasma membrane:endomembrane system,uniprot,9606.ENSP00000390204
341,HEPACAM2,cytoplasm,uniprot,9606.ENSP00000390204
342,HEPACAM2,microtubules:cytoplasm,uniprot,9606.ENSP00000390204
343,HEPACAM2,actin filaments:cytoplasm,uniprot,9606.ENSP00000390204
344,HEPACAM2,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000390204
345,HEPACAM2,mitotic spindle:microtubules:cytoplasm,uniprot,9606.ENSP00000390204
346,HEPACAM2,centrosome:cytoplasm,uniprot,9606.ENSP00000390204
347,HEPACAM2,midbody:microtubules:cytoplasm,uniprot,9606.ENSP00000390204
348,PHF20L1,nucleus,uniprot,9606.ENSP00000378784
350,MEI4,nucleus,uniprot,9606.ENSP00000473370
351,GRXCR1,plasma membrane:endomembrane system,uniprot,9606.ENSP00000382670
352,GRXCR1,microtubules:cytoplasm,uniprot,9606.ENSP00000382670
353,GRXCR1,actin filaments:cytoplasm,uniprot,9606.ENSP00000382670
354,GRXCR1,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000382670
355,NUDT19,peroxisomes:vesicles:endomembrane system,uniprot,9606.ENSP00000380251
356,KCNU1,plasma membrane:endomembrane system,uniprot,9606.ENSP00000382770
357,LEUTX,nucleus,uniprot,9606.ENSP00000380053
358,COL6A5,secreted proteins:secretory,uniprot,9606.ENSP00000265379
359,COL6A5,secretory,uniprot,9606.ENSP00000265379
360,KPNA7,nucleus,uniprot,9606.ENSP00000330878
361,MIF4GD,cytoplasm,uniprot,9606.ENSP00000463334
362,MIF4GD,nucleus,uniprot,9606.ENSP00000463334
363,AHRR,cytoplasm,uniprot,9606.ENSP00000323816
364,AHRR,nucleus,uniprot,9606.ENSP00000323816
365,MYO1G,plasma membrane:endomembrane system,uniprot,9606.ENSP00000258787
366,MYO1G,microtubules:cytoplasm,uniprot,9606.ENSP00000258787
367,MYO1G,actin filaments:cytoplasm,uniprot,9606.ENSP00000258787
368,MYO1G,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000258787
370,HACD1,endoplasmic reticulum:endomembrane system,uniprot,9606.ENSP00000355308
371,HACD1,plasma membrane:endomembrane system,uniprot,9606.ENSP00000355308
372,ESPN,cytoplasm,uniprot,9606.ENSP00000367059
