protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6
9606.ENSP00000326652,2.4293986422375715e-06,2.3258752401854553e-06,1.4459231742353392e-06
9606.ENSP00000264563,5.763804662085251e-06,2.524132788173758e-06,7.591665898987029e-07
9606.ENSP00000298546,8.150059013421161e-07,2.654386430648403e-07,5.849619035861159e-08
9606.ENSP00000418438,4.4560162301344944e-05,2.6906800204104113e-05,1.31875676990657e-05
9606.ENSP00000389176,7.276510214940123e-06,2.867054616527552e-06,7.997630887945361e-07
9606.ENSP00000425040,1.9214635600477207e-06,1.0759339741591473e-06,4.796368039651017e-07
9606.ENSP00000297267,1.3957331374272147e-05,4.2364479676687256e-06,9.389509407499614e-07
9606.ENSP00000473047,6.234250567328117e-06,2.448727521786733e-06,6.67947501377297e-07
9606.ENSP00000359484,3.104810834561359e-05,1.7735498010154737e-05,8.22168383688637e-06
9606.ENSP00000382071,8.951951839902952e-06,4.2021408516922275e-06,1.4350924991834985e-06
9606.ENSP00000281708,0.001641030597692,0.0022631649317433,0.0021725545017253
9606.ENSP00000468720,1.8434020024356393e-05,1.2229731982169113e-05,6.137744542008236e-06
9606.ENSP00000356990,3.648512745111417e-05,2.5037585165624385e-05,1.3101312540286658e-05
9606.ENSP00000424595,2.7819687517472673e-05,2.259681777798404e-05,1.321976455342453e-05
9606.ENSP00000254624,1.18524277217307e-05,6.242624563391114e-06,2.685815445563174e-06
9606.ENSP00000305077,2.039284502691558e-06,8.882694353576795e-07,2.6490093751817453e-07
9606.ENSP00000341564,5.227628902699675e-06,4.033904483926245e-06,2.231951748001136e-06
9606.ENSP00000327604,2.9316179591035536e-06,1.2228011960396543e-06,3.5216850370754857e-07
9606.ENSP00000360797,1.7795958388207033e-05,7.665634311562314e-06,2.2863589447380672e-06
9606.ENSP00000331358,5.549718340978278e-06,2.323705000742159e-06,6.619221206959943e-07
9606.ENSP00000361162,1.3700874809239857e-05,5.734595448951313e-06,1.910289103868811e-06
9606.ENSP00000350049,1.1590204766784204e-05,4.96593863793641e-06,1.480629542917559e-06
9606.ENSP00000332528,5.524236307131618e-07,1.8349965620718634e-07,4.5310852155525645e-08
9606.ENSP00000367743,6.889622099304092e-06,4.0664231525320805e-06,1.4587243194053717e-06
9606.ENSP00000257979,1.62715865928396e-05,7.165762210823845e-06,2.201927626920835e-06
9606.ENSP00000481114,1.7824580906870654e-06,7.197898199583076e-07,2.0226143424348338e-07
9606.ENSP00000248342,3.422266393923782e-05,1.321225623554566e-05,3.814329419958612e-06
9606.ENSP00000418529,3.92105430968501e-05,1.6660702948668407e-05,4.922996786905616e-06
9606.ENSP00000249016,5.94348133652396e-06,2.169398739524996e-06,5.643702547465312e-07
9606.ENSP00000333376,1.5166468005554824e-05,4.642688828744758e-06,1.0523045029481544e-06
9606.ENSP00000349291,2.076834961351608e-05,9.123079807858515e-06,3.2023407335087484e-06
9606.ENSP00000365938,1.90881462495319e-05,9.17980813176968e-06,3.4350553851197126e-06
9606.ENSP00000306920,2.094788056918569e-05,1.0349666076865666e-05,3.6724624988740953e-06
