protein,Heat_target_0.1,Heat_target_0.2,Heat_target_0.3
9606.ENSP00000351937,6.24413150944747e-05,5.965174932498485e-05,5.790471550426446e-05
9606.ENSP00000269439,6.459187716245651e-05,5.986426185700111e-05,5.799131031380966e-05
9606.ENSP00000259400,8.051063923630863e-05,6.332264456432313e-05,5.8929519582306966e-05
9606.ENSP00000293471,1.029043869493762e-05,1.8283391909790225e-05,2.4721099180169404e-05
9606.ENSP00000350869,6.188978295540437e-05,5.950872946414165e-05,5.779423372587189e-05
9606.ENSP00000249504,6.727685104124248e-05,6.117005978012457e-05,5.836992568220012e-05
9606.ENSP00000364635,2.6846648324863057e-05,4.1591873014112934e-05,4.901154898107052e-05
9606.ENSP00000346127,3.808390465565026e-05,5.2302861149655655e-05,5.6040404160739854e-05
9606.ENSP00000359353,5.435452840174548e-05,5.883180347154848e-05,5.784914901596494e-05
9606.ENSP00000305653,5.8524878113530576e-05,5.9185465943301097e-05,5.7854485930874944e-05
9606.ENSP00000381824,6.340099935187027e-05,5.9496640460565686e-05,5.781774598290213e-05
9606.ENSP00000216465,6.301025132415816e-05,5.9632264310494065e-05,5.788102134829387e-05
9606.ENSP00000483521,3.2760875910753384e-05,4.893127334071323e-05,5.447205694508739e-05
9606.ENSP00000376258,6.546653457917273e-05,6.0121677961433306e-05,5.800707367598079e-05
9606.ENSP00000463027,6.186698738019913e-05,5.994404273224063e-05,5.802999658044427e-05
9606.ENSP00000337623,5.662313924403861e-05,5.8646703109843656e-05,5.76531165279448e-05
9606.ENSP00000307305,6.252679304452613e-05,5.9809841332025826e-05,5.800360668217763e-05
9606.ENSP00000472619,3.931322862626985e-05,4.796333814738318e-05,5.181050073588267e-05
9606.ENSP00000307241,6.236476474441588e-05,5.9321464505046606e-05,5.77422724745702e-05
9606.ENSP00000368959,6.189819396240637e-05,5.884868369321339e-05,5.756589234806597e-05
9606.ENSP00000222250,6.43876992398873e-05,5.99680861341767e-05,5.801216320833191e-05
9606.ENSP00000360577,6.26083929091692e-05,5.9538571804296225e-05,5.785936082247645e-05
9606.ENSP00000346671,6.044046313036233e-05,5.871712346561253e-05,5.7502595154801384e-05
9606.ENSP00000317714,6.33245799690485e-05,5.941932977293618e-05,5.7759254559641704e-05
9606.ENSP00000408695,6.162549834698439e-05,5.9002661146223545e-05,5.76226957491599e-05
9606.ENSP00000478320,6.405625026673079e-05,5.953581421636045e-05,5.783097367384471e-05
9606.ENSP00000373684,6.168596155475825e-05,5.89686787861865e-05,5.7573895901441574e-05
9606.ENSP00000269383,5.861465979251079e-05,5.917615999351256e-05,5.7782093790592626e-05
9606.ENSP00000357660,5.947857516730437e-06,1.0875768566620536e-05,1.524646631878568e-05
9606.ENSP00000417602,6.308683805400506e-05,5.9578302170848474e-05,5.785315443063155e-05
9606.ENSP00000353151,7.485888636438176e-05,6.257219502003863e-05,5.8849589549936354e-05
9606.ENSP00000368538,5.9415833675302565e-05,5.857373616890982e-05,5.7535955420462415e-05
