protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,label
9606.ENSP00000311905,0,0,0,0,0.019230769,0.066666667,0,0,0,0,0,0,0,0.00540275,0.020467836,0.003590664,0.010504202,0.012295082,0,0.003115265,0,0,0.008109794,0.008385744,0,0.007194245,0.008474576,0,0.060606061,0,0,0.006102877,0.017094017,0,0,0.04,0,0,0,0,1,0.010433086,0.2801379,5.29E-05,1.71E-05,1.30E-05,7.30E-06,1,1,1,0,0,0,0
9606.ENSP00000286692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003119152,0.002096436,0,0.007194245,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000675524,0.24045686,1.33E-07,2.83E-07,1.21E-07,3.53E-08,1,1,1,1,0,0,0
9606.ENSP00000475084,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.019941061,0.142690058,0.003590664,0.018907563,0.012295082,0,0.034267913,0,0,0.026824704,0.018867925,0,0.014388489,0.127118644,0,0,0,0,0.002615519,0.02991453,0,0.009803922,0.08,0,0,0.137931034,0,1,0.042407866,0.188397384,3.67E-05,4.30E-05,2.21E-05,8.73E-06,1,1,1,0,0,0,0
9606.ENSP00000370104,0,0,0,0,0.153846154,0.066666667,0,0,0,0,0,0.666666667,0,0.041650295,0.065497076,0.026929982,0.044117647,0.06147541,0,0.037383178,0.058823529,0,0.031191516,0.031446541,0,0.014388489,0.050847458,0,0.015151515,0,0,0.068875327,0.115384615,0.01459854,0.078431373,0.06,0,0.006578947,0.034482759,0,1,0.060797118,0.440481696,9.47E-05,8.17E-05,7.26E-05,4.27E-05,1,1,1,0,0,0,0
9606.ENSP00000396749,0,0,0,0,0.038461538,0,0,0,0,0,0.166666667,0,0,0.037131631,0.053216374,0.053859964,0.029411765,0.032786885,0,0.049844237,0.029411765,0,0.031815346,0.016771488,0.011363636,0,0,0,0.045454545,0,0,0.129904098,0.123931624,0.072992701,0.049019608,0.02,0,0.059210526,0.017241379,0,1,0.06072206,0.601635272,4.98E-05,4.01E-05,2.40E-05,1.09E-05,1,1,1,0,0,0,0
9606.ENSP00000225519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071611002,0.033918129,0.102333932,0.025210084,0.008196721,0.086956522,0.059190031,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.066126248,0.218932952,7.69E-07,2.83E-05,1.14E-05,3.23E-06,1,1,1,1,0,0,0
9606.ENSP00000254043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017878193,0.025730994,0.014362657,0.031512605,0.024590164,0,0.040498442,0,0,0.006862133,0.008385744,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.021391578,0.1723722,2.32E-06,1.55E-05,5.80E-06,1.54E-06,1,1,1,1,0,0,0
9606.ENSP00000358955,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0.0043222,0.019883041,0,0.004201681,0,0,0.003115265,0,0,0.007485964,0.01048218,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.007580875,0.190255821,1.25E-05,6.42E-06,3.71E-06,1.74E-06,1,1,1,0,0,0,0
9606.ENSP00000227451,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0.012475442,0.01871345,0.010771993,0.012605042,0.036885246,0,0.015576324,0,0,0.008733624,0.002096436,0,0.007194245,0,0,0,0,0,0.065387969,0.047008547,0.02189781,0.019607843,0,0,0.098684211,0.017241379,0,1,0.023192975,0.3361884,3.07E-06,1.39E-05,6.22E-06,2.02E-06,1,1,1,0,0,0,0
9606.ENSP00000375894,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0.000687623,0.002339181,0,0,0.008196721,0.043478261,0,0,0,0.027448534,0.050314465,0,0.035971223,0.042372881,0.136363636,0.03030303,0,0,0,0,0,0,0,0,0,0,0,1,0.007355701,0.20401767,9.17E-06,7.41E-06,4.23E-06,1.80E-06,1,1,1,0,0,0,0
