protein,shortest_path_length,label
9606.ENSP00000375919,-3,0.0
9606.ENSP00000283179,-3,1.0
9606.ENSP00000261405,-3,0.0
9606.ENSP00000253686,-4,0.0
9606.ENSP00000322265,-4,0.0
9606.ENSP00000247461,-2,0.0
9606.ENSP00000344411,-3,0.0
9606.ENSP00000393762,-4,0.0
9606.ENSP00000384869,-3,0.0
9606.ENSP00000222812,-4,0.0
9606.ENSP00000342215,-4,0.0
9606.ENSP00000332389,-4,0.0
9606.ENSP00000418661,-4,0.0
9606.ENSP00000396320,-4,0.0
9606.ENSP00000425715,-4,0.0
9606.ENSP00000274311,-3,0.0
9606.ENSP00000221996,-3,0.0
9606.ENSP00000346437,-3,0.0
9606.ENSP00000260526,-3,0.0
9606.ENSP00000477597,-4,1.0
9606.ENSP00000278025,-4,0.0
9606.ENSP00000434727,-4,0.0
9606.ENSP00000376110,-3,0.0
9606.ENSP00000403644,-4,0.0
9606.ENSP00000229134,-4,0.0
9606.ENSP00000274137,-3,0.0
9606.ENSP00000325954,-3,0.0
9606.ENSP00000310042,-4,0.0
9606.ENSP00000318960,-4,0.0
9606.ENSP00000445704,-4,0.0
9606.ENSP00000451080,-3,0.0
9606.ENSP00000319974,-3,0.0
9606.ENSP00000387211,-4,0.0
9606.ENSP00000465676,-3,0.0
9606.ENSP00000268712,-3,1.0
9606.ENSP00000387292,-4,0.0
9606.ENSP00000366797,-4,0.0
9606.ENSP00000285930,-3,0.0
9606.ENSP00000287706,-3,0.0
9606.ENSP00000225964,-3,0.0
9606.ENSP00000358482,-4,0.0
9606.ENSP00000342952,-3,0.0
9606.ENSP00000404074,-4,0.0
9606.ENSP00000356702,-4,0.0
9606.ENSP00000333837,-3,0.0
9606.ENSP00000254480,-3,1.0
9606.ENSP00000380351,-4,0.0
9606.ENSP00000360858,-3,0.0
9606.ENSP00000300413,-3,1.0
9606.ENSP00000330075,-3,0.0
9606.ENSP00000254928,-3,0.0
9606.ENSP00000410216,-3,1.0
9606.ENSP00000298912,-3,0.0
9606.ENSP00000442626,-4,0.0
9606.ENSP00000354053,-4,0.0
9606.ENSP00000409652,-4,0.0
9606.ENSP00000324648,-3,0.0
9606.ENSP00000309031,-3,0.0
9606.ENSP00000359384,-4,0.0
9606.ENSP00000458290,-4,0.0
9606.ENSP00000274382,-3,0.0
9606.ENSP00000386636,-3,0.0
9606.ENSP00000471477,-3,0.0
9606.ENSP00000243167,-3,0.0
9606.ENSP00000363394,-3,0.0
9606.ENSP00000420927,-3,0.0
9606.ENSP00000338165,-4,0.0
9606.ENSP00000433459,-3,0.0
9606.ENSP00000325448,-3,0.0
9606.ENSP00000326603,-3,0.0
9606.ENSP00000367655,-3,0.0
9606.ENSP00000265960,-3,0.0
9606.ENSP00000328998,-3,0.0
9606.ENSP00000362803,-3,0.0
9606.ENSP00000361943,-4,0.0
9606.ENSP00000458832,-3,0.0
9606.ENSP00000265651,-4,0.0
9606.ENSP00000384490,-3,0.0
9606.ENSP00000397181,-3,0.0
9606.ENSP00000368982,-3,0.0
9606.ENSP00000389381,-3,0.0
9606.ENSP00000378624,-3,0.0
9606.ENSP00000297625,-3,0.0
9606.ENSP00000244333,-4,0.0
9606.ENSP00000370984,-4,0.0
9606.ENSP00000442770,-3,1.0
9606.ENSP00000364550,-3,0.0
9606.ENSP00000267260,-4,0.0
9606.ENSP00000347919,-4,0.0
9606.ENSP00000334072,-4,0.0
9606.ENSP00000269389,-5,0.0
9606.ENSP00000354621,-3,0.0
9606.ENSP00000285298,-4,0.0
9606.ENSP00000265849,-3,0.0
9606.ENSP00000362041,-3,0.0
9606.ENSP00000366604,-3,0.0
9606.ENSP00000410257,-4,0.0
9606.ENSP00000386902,-3,0.0
9606.ENSP00000308733,-4,0.0
9606.ENSP00000357048,-3,0.0
9606.ENSP00000414516,-4,0.0
9606.ENSP00000428603,-4,0.0
9606.ENSP00000314420,-3,0.0
9606.ENSP00000383949,-3,0.0
9606.ENSP00000314380,-4,0.0
9606.ENSP00000173898,-4,0.0
9606.ENSP00000314004,-3,0.0
9606.ENSP00000435355,-3,0.0
9606.ENSP00000217169,-3,0.0
9606.ENSP00000374332,-3,0.0
9606.ENSP00000307234,-4,0.0
9606.ENSP00000464087,-3,0.0
9606.ENSP00000484479,-4,0.0
9606.ENSP00000224807,-3,0.0
9606.ENSP00000388713,-3,0.0
9606.ENSP00000382474,-4,0.0
9606.ENSP00000378295,-3,0.0
9606.ENSP00000399392,-4,0.0
9606.ENSP00000282007,-3,1.0
9606.ENSP00000479097,-4,0.0
9606.ENSP00000456782,-4,0.0
9606.ENSP00000215980,-3,0.0
9606.ENSP00000422941,-4,0.0
9606.ENSP00000263372,-4,0.0
9606.ENSP00000341743,-4,0.0
9606.ENSP00000346012,-3,0.0
9606.ENSP00000366617,-4,0.0
9606.ENSP00000355589,-3,0.0
9606.ENSP00000339577,-4,0.0
9606.ENSP00000262894,-4,0.0
9606.ENSP00000362946,-3,0.0
9606.ENSP00000291539,-3,0.0
9606.ENSP00000472836,-3,0.0
9606.ENSP00000262188,-3,0.0
9606.ENSP00000355465,-3,0.0
9606.ENSP00000306117,-4,0.0
9606.ENSP00000251566,-3,0.0
9606.ENSP00000229002,-3,0.0
9606.ENSP00000432614,-3,0.0
9606.ENSP00000398481,-3,0.0
9606.ENSP00000285697,-3,0.0
9606.ENSP00000256412,-4,0.0
9606.ENSP00000468720,-4,0.0
9606.ENSP00000263713,-3,0.0
9606.ENSP00000479319,-4,0.0
9606.ENSP00000363694,-3,0.0
9606.ENSP00000329860,-4,0.0
9606.ENSP00000449629,-3,0.0
9606.ENSP00000377958,-3,0.0
9606.ENSP00000384957,-3,0.0
9606.ENSP00000349087,-4,0.0
9606.ENSP00000431885,-3,0.0
9606.ENSP00000362306,-3,0.0
9606.ENSP00000467083,-4,0.0
9606.ENSP00000483038,-4,0.0
9606.ENSP00000332444,-3,0.0
9606.ENSP00000381023,-3,0.0
9606.ENSP00000344903,-3,0.0
9606.ENSP00000357776,-4,0.0
9606.ENSP00000263932,-4,0.0
9606.ENSP00000417686,-4,0.0
9606.ENSP00000310117,-4,0.0
9606.ENSP00000457935,-4,1.0
9606.ENSP00000305877,-4,0.0
9606.ENSP00000234961,-3,0.0
9606.ENSP00000420076,-3,0.0
9606.ENSP00000354497,-4,0.0
9606.ENSP00000379217,-4,0.0
9606.ENSP00000441434,-3,0.0
9606.ENSP00000264852,-4,0.0
9606.ENSP00000344855,-3,0.0
9606.ENSP00000470584,-4,0.0
9606.ENSP00000275053,-3,0.0
9606.ENSP00000376322,-3,0.0
9606.ENSP00000365411,-3,0.0
9606.ENSP00000311684,-3,0.0
9606.ENSP00000425587,-3,1.0
9606.ENSP00000321038,-4,0.0
9606.ENSP00000471502,-4,0.0
9606.ENSP00000359691,-4,0.0
9606.ENSP00000000233,-3,0.0
9606.ENSP00000362711,-3,0.0
9606.ENSP00000247020,-3,0.0
9606.ENSP00000242576,-3,0.0
9606.ENSP00000338785,-3,0.0
9606.ENSP00000405424,-4,0.0
9606.ENSP00000258455,-3,0.0
9606.ENSP00000295746,-3,0.0
9606.ENSP00000279147,-4,0.0
9606.ENSP00000211936,-3,0.0
9606.ENSP00000357812,-4,0.0
9606.ENSP00000440428,-3,0.0
9606.ENSP00000309132,-4,0.0
9606.ENSP00000419361,-4,0.0
9606.ENSP00000483903,-3,0.0
9606.ENSP00000229812,-3,0.0
9606.ENSP00000438205,-3,0.0
9606.ENSP00000379873,-3,0.0
9606.ENSP00000321464,-7,0.0
9606.ENSP00000354415,-4,0.0
9606.ENSP00000467176,-3,0.0
9606.ENSP00000300055,-3,0.0
9606.ENSP00000262753,-4,0.0
9606.ENSP00000348211,-3,0.0
9606.ENSP00000258991,-3,0.0
9606.ENSP00000256442,-3,0.0
9606.ENSP00000343435,-3,0.0
9606.ENSP00000297440,-4,0.0
9606.ENSP00000288167,-4,0.0
9606.ENSP00000380310,-4,0.0
9606.ENSP00000296589,-4,0.0
9606.ENSP00000448310,-4,0.0
9606.ENSP00000217109,-4,0.0
9606.ENSP00000310110,-4,0.0
9606.ENSP00000437073,-3,0.0
9606.ENSP00000455041,-4,0.0
9606.ENSP00000329002,-3,0.0
9606.ENSP00000257215,-3,1.0
9606.ENSP00000335292,-4,0.0
9606.ENSP00000361636,-3,0.0
9606.ENSP00000248948,-4,0.0
9606.ENSP00000234256,-3,0.0
9606.ENSP00000269445,-4,0.0
9606.ENSP00000354623,-3,0.0
9606.ENSP00000427407,-4,0.0
9606.ENSP00000344260,-4,0.0
9606.ENSP00000260600,-3,0.0
9606.ENSP00000483386,-4,0.0
9606.ENSP00000257118,-3,0.0
9606.ENSP00000263384,-3,0.0
9606.ENSP00000258484,-3,0.0
9606.ENSP00000318914,-4,0.0
9606.ENSP00000332256,-3,0.0
9606.ENSP00000363748,-4,0.0
9606.ENSP00000426119,-3,0.0
9606.ENSP00000324842,-3,0.0
9606.ENSP00000384949,-3,0.0
9606.ENSP00000345436,-4,0.0
9606.ENSP00000389554,-4,0.0
9606.ENSP00000483300,-3,0.0
9606.ENSP00000320209,-4,0.0
9606.ENSP00000320866,-3,0.0
9606.ENSP00000467494,-3,0.0
9606.ENSP00000371735,-3,0.0
9606.ENSP00000355865,-3,0.0
9606.ENSP00000398560,-3,0.0
9606.ENSP00000372005,-3,0.0
9606.ENSP00000287025,-4,0.0
9606.ENSP00000485582,-4,0.0
9606.ENSP00000337701,-3,0.0
9606.ENSP00000347532,-3,0.0
9606.ENSP00000338345,-3,0.0
9606.ENSP00000378881,-3,1.0
9606.ENSP00000374069,-3,0.0
9606.ENSP00000361557,-4,0.0
9606.ENSP00000272348,-3,0.0
9606.ENSP00000361036,-5,0.0
9606.ENSP00000418593,-4,0.0
9606.ENSP00000412130,-4,0.0
9606.ENSP00000378935,-3,0.0
