protein,heat_0.1_0.1,heat_0.1_0.2,heat_0.1_0.3,heat_0.1_0.4,heat_0.1_0.5,heat_0.1_0.6,heat_0.1_0.7,heat_0.1_0.8,heat_0.1_0.9,heat_0.1_1.0
9606.ENSP00000249636,0.0024397593251705,0.004510665451562,0.0067349745668252,0.0089982199542646,0.0111318937315445,0.0135414443720947,0.0156697293914476,0.0183116555981541,0.0203598156958833,0.0224359042040305
9606.ENSP00000355672,0.0024490717187291,0.0043340689680917,0.0062838717947215,0.0081786424814254,0.0099111199467643,0.012061300599953,0.0137954171439105,0.0159692212198478,0.0178003341259227,0.0198519596285677
9606.ENSP00000483486,0.0023504576092818,0.0043966093417111,0.0066912845732076,0.0088399210044372,0.0125528987819052,0.0152909044554689,0.0172914303620927,0.0197865547506808,0.0215508895050788,0.0246553313415915
9606.ENSP00000310170,0.0024490077812515,0.004589419291733,0.0068882134964951,0.0091477418209251,0.0112017334358824,0.0134720324540467,0.0155740435607185,0.0182486610460728,0.020419057168965,0.0227387499630822
9606.ENSP00000483495,0.0024005882569326,0.0046301866004796,0.0069388730389619,0.0092681096703017,0.0111793007472442,0.0135217122433459,0.0156148603446126,0.0181951001713969,0.0201015066068066,0.0221826760125622
9606.ENSP00000264718,0.0024492526817994,0.0044983876550759,0.0067441214932841,0.009009680940835,0.0111177986627808,0.0134940042662492,0.015613458590451,0.0183031978376675,0.0203730960483881,0.0224780942471625
9606.ENSP00000425587,0.0024003117141546,0.0045670838881051,0.0068590435403166,0.0090353244650032,0.0109345713844959,0.0132090642309776,0.0154900463912781,0.0179600354294962,0.0199223673216693,0.0220569967268602
9606.ENSP00000468424,0.002279845324665,0.0043226769157627,0.0065413090696893,0.0087425889605583,0.0105627208968144,0.0127905209756136,0.014781170297283,0.0171853532083332,0.0189548675853075,0.020920230491356
9606.ENSP00000361042,0.0024677848414285,0.0043536647026485,0.0066355804833619,0.0090465442376626,0.0108780428040518,0.0131660623987954,0.0150907980382726,0.0174688491601955,0.0195967751737953,0.0219342455425248
9606.ENSP00000332103,0.0024559506418881,0.0046324949107656,0.0069156421254774,0.0091148916667407,0.0111380365538025,0.0132806737774444,0.0153898791927531,0.0179926423447795,0.020175929607376,0.0223155182288792
9606.ENSP00000372804,0.0024374305430683,0.0045989951977389,0.0069198399851302,0.0093159906700748,0.0112206311951013,0.0135592491915303,0.0157416394595202,0.018337477607929,0.0202283362677917,0.0224356317366982
