protein,RW_20_0.1,RW_20_0.2,RW_20_0.3,RW_20_0.4,RW_20_0.5,RW_20_0.6,RW_20_0.7,RW_20_0.8,RW_20_0.9,RW_20_1.0
9606.ENSP00000349208,0.0015002955115051,0.0027192018314963,0.0040321081978618,0.005063277480076,0.0069378441403387,0.0082506822000141,0.0093753262844984,0.0101252055828808,0.0114371581512386,0.0129373469244455
9606.ENSP00000377027,0.0024692297156434,0.0044763380283256,0.0066380164498696,0.0083374007663223,0.0114259219699306,0.0135880627931328,0.0154424365464365,0.0166786957561271,0.0188423240324482,0.0213127627357607
9606.ENSP00000276390,0.001646762008022,0.0029855916072847,0.0044274818574194,0.0055607819522265,0.0076200349940336,0.0090614713990362,0.0102975594054441,0.011121086696221,0.0125627532834187,0.0142107996507547
9606.ENSP00000334100,0.0020424582762643,0.0037035518907941,0.0054928570170886,0.0068971382861491,0.0094539794808952,0.0112449277658015,0.0127786312514217,0.0138011238450417,0.0155895267089363,0.0176356535230297
9606.ENSP00000333255,0.0002091939377351,0.0003791767230723,0.0005623047227345,0.0007063190705594,0.0009676391409811,0.0011508138913995,0.0013077013772999,0.0014124671124591,0.0015954867503751,0.0018046023797069
9606.ENSP00000275532,0.0002892154516302,0.0005241246872174,0.0007771964465064,0.000976023826297,0.0013375401449593,0.0015905515701888,0.0018074119525408,0.0019520096429914,0.0022050913175917,0.0024942943746282
9606.ENSP00000397394,0.0001692235155132,0.0003065259143113,0.0004542732285699,0.0005704173772755,0.0007814925293132,0.0009295036725234,0.0010561428234723,0.0011406495359551,0.0012885211044704,0.0014576257935914
9606.ENSP00000328848,0.001251025001693,0.0022671374244964,0.003361243121617,0.0042206893485854,0.0057847283096634,0.0068793498066952,0.0078179389893193,0.0084433710580924,0.0095374611628358,0.0107879772112937
9606.ENSP00000225724,0.001072985738574,0.0019425688733463,0.0028789365460397,0.0036149537627352,0.0049523739362484,0.0058904641045955,0.0066931464680237,0.0072288016453967,0.0081662610537023,0.0092382520306273
9606.ENSP00000480828,0.0010613185877446,0.001923897958477,0.0028531384450616,0.0035835573871736,0.0049095076683443,0.0058384101648698,0.0066342017307761,0.0071660792164038,0.0080946315283654,0.0091560948712867
9606.ENSP00000265565,0.0004825154010177,0.0008752965841267,0.0012980862284166,0.0016301474279316,0.0022342381871567,0.0026572385795589,0.0030196073148545,0.0032610712696623,0.0036835259161307,0.0041670339560369
9606.ENSP00000348933,0.0001365999196423,0.0002475859864716,0.0003671115691759,0.0004610506712197,0.000631781776974,0.0007513233013014,0.0008537332059859,0.0009220495603585,0.0010415786919111,0.0011781425127992
9606.ENSP00000361990,0.0012452533119358,0.002257133484818,0.0033467023677076,0.0042030022013932,0.0057597055783844,0.0068493663711706,0.0077834184776293,0.0084060110166319,0.0094955707027111,0.0107408973344718
9606.ENSP00000349748,0.0022152440797071,0.0040148696425603,0.0059527669509407,0.0074752211075974,0.0102445973025169,0.0121830526768462,0.013844816799974,0.0149523977306671,0.0168903856538236,0.0191053748858394
9606.ENSP00000453793,0.000827762105473,0.0014993427503213,0.0022226436267374,0.002791085778881,0.0038250098550633,0.0045485565242415,0.0051683476958714,0.0055818175569584,0.0063053079938981,0.0071319859162031
9606.ENSP00000380322,0.0001285611797356,0.0002332263065909,0.0003458321452853,0.0004342976371844,0.0005951504008407,0.0007077729615048,0.0008042849703997,0.0008686039118401,0.0009811667596295,0.0011099013945568
9606.ENSP00000297135,0.0009258888567273,0.0016785682018962,0.0024893108020478,0.0031265090947272,0.0042836247521336,0.0050938465465151,0.0057880236308847,0.0062510720163118,0.007061844193231,0.0079879258628352
