protein,RW_target_10,RW_target_20,RW_target_30
9606.ENSP00000275230,2.6332016204833053e-05,2.561928158684168e-05,2.5604585971450433e-05
9606.ENSP00000402457,9.658746421337128e-06,9.540376595396085e-06,9.539014172332829e-06
9606.ENSP00000325312,0.0001283203891944,0.0001338689617114,0.0001340418966719
9606.ENSP00000248958,3.932521212846041e-05,3.9157555875135586e-05,3.915935303666629e-05
9606.ENSP00000442336,7.96234598965384e-05,7.736193219898269e-05,7.731581717962399e-05
9606.ENSP00000387882,1.836870251281653e-05,1.758412690833211e-05,1.757234895194415e-05
9606.ENSP00000307508,0.0002327922557014,0.0002384148247074,0.0002384712424827
9606.ENSP00000367930,3.1375202524941415e-06,3.0146190965751885e-06,3.012379693245748e-06
9606.ENSP00000355996,4.841637291974621e-06,4.522332801570883e-06,4.5185297494754195e-06
9606.ENSP00000380131,1.3851143194187898e-05,1.4069428289076312e-05,1.4058628948987462e-05
9606.ENSP00000413100,4.999926090931694e-07,5.018621322960826e-07,5.020328899263404e-07
9606.ENSP00000273183,1.2296770364628172e-05,1.205640182888601e-05,1.2049519682477694e-05
9606.ENSP00000367157,7.129445293685421e-05,7.806816574884579e-05,7.831000402802601e-05
9606.ENSP00000416330,1.670534402364865e-05,1.6571450032643043e-05,1.6567941202083603e-05
9606.ENSP00000343435,2.900465005950537e-05,2.862781002477277e-05,2.8617321731871925e-05
9606.ENSP00000263384,1.953532409970649e-05,2.1026826289016753e-05,2.1083933461341076e-05
9606.ENSP00000268668,0.000140515185194,0.0001415544538758,0.0001415791048202
9606.ENSP00000413073,7.479262421838939e-06,7.057645689201308e-06,7.0307814894476905e-06
9606.ENSP00000322823,5.067391839475022e-07,5.021786364522995e-07,5.020414732825884e-07
9606.ENSP00000395473,4.3375421228120103e-05,4.120260928175412e-05,4.1169128962792456e-05
9606.ENSP00000279058,1.015796897263499e-05,1.0043735528597608e-05,1.0041189852927346e-05
9606.ENSP00000237014,6.285382551141083e-05,6.128496897872537e-05,6.125077925389633e-05
9606.ENSP00000419000,1.4673112673335709e-05,1.505122327216668e-05,1.5061126759974286e-05
9606.ENSP00000331901,0.0003433888487052,0.000347822351614,0.0003479045117273
9606.ENSP00000377456,5.6777207646518946e-06,5.525750566448551e-06,5.522611445485381e-06
9606.ENSP00000352522,8.534763765055686e-05,8.436226198682562e-05,8.43460948090069e-05
9606.ENSP00000354724,5.84454792260658e-05,5.579307980951853e-05,5.5729677114868537e-05
9606.ENSP00000329471,4.8537447582930326e-05,4.771334715769626e-05,4.7696143155917525e-05
9606.ENSP00000215855,4.6268619371403474e-06,4.522536073636729e-06,4.518462901614839e-06
9606.ENSP00000361658,4.3110467231599614e-05,4.316394915804267e-05,4.317672937759198e-05
9606.ENSP00000243077,0.0001377315638819,0.0001351391983916,0.0001350565435132
9606.ENSP00000378310,5.189494004298467e-06,5.02331249663257e-06,5.020612206863007e-06
9606.ENSP00000310661,2.600453626655508e-05,2.6614326998242177e-05,2.660896825545933e-05
9606.ENSP00000356405,0.0002311403077328,0.0002275145670864,0.000227433265536
9606.ENSP00000361107,0.000122258104966,0.0001210551490657,0.000120996563055
9606.ENSP00000378230,1.2194876944704449e-05,1.155250720330514e-05,1.1547244866960682e-05
9606.ENSP00000454973,8.557027285860386e-06,8.535824235877953e-06,8.534911103197373e-06
9606.ENSP00000263383,4.873164652963169e-05,4.869587792200036e-05,4.869870099355467e-05
9606.ENSP00000248600,4.648749381885864e-05,4.863354843109846e-05,4.869680924457498e-05
9606.ENSP00000352071,1.1833397365990097e-05,1.1552618161658756e-05,1.1547199392225592e-05
9606.ENSP00000263642,7.482401269953698e-05,7.283433660632e-05,7.279514829861e-05
9606.ENSP00000278742,1.2827443242713343e-05,1.2559878996398766e-05,1.255161623703316e-05
9606.ENSP00000204604,4.6522385673597455e-05,4.620522304321639e-05,4.6189426939236e-05
9606.ENSP00000264444,2.916411540354602e-05,2.7651272830553353e-05,2.7614227292360735e-05
