protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6
9606.ENSP00000354919,9.634234557518258e-07,4.726254913885914e-07,1.4831283325881736e-07
9606.ENSP00000378757,2.1523232245779552e-06,7.877937907274357e-07,2.060995046813506e-07
9606.ENSP00000335060,1.5300971983050615e-05,7.096410142803069e-06,2.1922569903270142e-06
9606.ENSP00000384400,1.2348834818319116e-05,5.890029354730401e-06,1.8372920380270897e-06
9606.ENSP00000243189,5.446766102821174e-06,2.4181777935159555e-06,7.367856155412063e-07
9606.ENSP00000332139,1.2004509202137489e-05,6.235773390370215e-06,1.971011165647533e-06
9606.ENSP00000308944,6.449969279177606e-05,2.0775579509094676e-05,5.3832338187279884e-06
9606.ENSP00000456743,4.486923864229663e-06,1.9189322431088036e-06,6.526241437813938e-07
9606.ENSP00000276689,4.8108837332614914e-05,2.1654280458704823e-05,7.829847836476092e-06
9606.ENSP00000235090,0.0001085578504714,3.664435423815904e-05,9.718824935306194e-06
9606.ENSP00000348161,0.0,0.0,0.0
9606.ENSP00000327533,1.949326421031154e-06,7.018971656733109e-07,1.788085308253801e-07
9606.ENSP00000384169,2.9572598701859283e-05,1.9148824987054494e-05,8.371827507476635e-06
9606.ENSP00000301364,5.703429484022829e-05,2.6214748321765753e-05,1.0122597867406568e-05
9606.ENSP00000379241,2.7734347252189777e-05,9.047715707400066e-06,2.261323358411632e-06
9606.ENSP00000462116,1.1905333224072185e-05,4.2518863515041574e-06,1.2246527188092867e-06
9606.ENSP00000263620,2.764590165971299e-05,9.601779495437388e-06,2.48062167295674e-06
9606.ENSP00000278612,7.195187500434034e-06,3.20166835364502e-06,1.2832852028407545e-06
9606.ENSP00000367743,9.865047023007092e-06,6.559149249057238e-06,2.8712777420924637e-06
9606.ENSP00000260045,9.524744891015617e-06,4.8374717420553935e-06,1.7314884167945889e-06
9606.ENSP00000393583,1.2161200547556083e-05,4.469603148880004e-06,1.228684426664864e-06
9606.ENSP00000337261,7.407097425935761e-05,4.43066698446584e-05,2.0193527432252574e-05
9606.ENSP00000272424,1.310164826170644e-05,4.828463038650687e-06,1.2800286566924308e-06
9606.ENSP00000258201,4.414137509990131e-05,1.8162287544361256e-05,5.342207776358913e-06
9606.ENSP00000451406,9.629062147902278e-06,4.363962183089535e-06,1.38663096944556e-06
9606.ENSP00000246868,3.336937205483721e-05,1.011120096662594e-05,2.34767083499194e-06
9606.ENSP00000381064,1.034659013810561e-05,3.6342185167106137e-06,1.0917879268845717e-06
9606.ENSP00000264170,1.1735670609057063e-05,4.4144035856841945e-06,1.16400739588917e-06
9606.ENSP00000352427,8.024206692151785e-06,3.530312557086944e-06,1.034756639478467e-06
9606.ENSP00000378364,1.2475471461524326e-05,5.32119422725464e-06,1.5472276711187808e-06
9606.ENSP00000227451,2.551480135044248e-05,1.5453284996666507e-05,6.562051777317483e-06
9606.ENSP00000205636,5.7254576538371075e-06,3.3269054108949443e-06,1.2030143329744511e-06
9606.ENSP00000358301,2.4738586841295125e-05,1.3592182922769129e-05,5.424854060976663e-06
9606.ENSP00000430269,3.4853573205837735e-05,1.3842468590328389e-05,3.900684093206442e-06
