protein,RW_target_10,RW_target_20,RW_target_30
9606.ENSP00000451828,0.0005365058314055,0.0005006254068575,0.0004990598536096
9606.ENSP00000307833,1.2700254046649206e-05,1.3015851436648518e-05,1.3030092304688878e-05
9606.ENSP00000424400,1.7248469248443143e-06,1.632523435546318e-06,1.6290229041260318e-06
9606.ENSP00000313159,7.214244305941975e-06,7.076318524923408e-06,7.059591553115752e-06
9606.ENSP00000369473,1.449450519430684e-05,1.5695977708674036e-05,1.5743560652481392e-05
9606.ENSP00000448054,0.000185346318176,0.0001982978428713,0.0001987033174373
9606.ENSP00000266719,7.899430784163997e-05,8.642091415822506e-05,8.684896602062508e-05
9606.ENSP00000200676,5.942531061009504e-05,2.2623527911491692e-05,2.227147160738241e-05
9606.ENSP00000324127,3.0471914215013385e-05,2.840035995177459e-05,2.8242147891432975e-05
9606.ENSP00000259989,3.4938898352265824e-06,2.7397893518354977e-06,2.7157993827131577e-06
9606.ENSP00000253673,2.507339559087995e-05,1.8123446352547035e-05,1.792539842426777e-05
9606.ENSP00000310491,5.4508775065187365e-05,5.069958933745511e-05,5.05047501064837e-05
9606.ENSP00000294288,0.0002293317375006,0.0002331756695639,0.000232946491451
9606.ENSP00000372221,5.842040627612733e-05,5.2772149501834065e-05,5.267058440949768e-05
9606.ENSP00000225525,2.7275385946268216e-05,2.5605755581636913e-05,2.552322439441923e-05
9606.ENSP00000370192,5.471405870594026e-07,5.433583396552422e-07,5.429723159977584e-07
9606.ENSP00000273283,1.7585174646228552e-05,1.364444051432656e-05,1.357639757770812e-05
9606.ENSP00000377801,3.888539504259825e-05,3.909829683834687e-05,3.909368024324067e-05
9606.ENSP00000314518,6.646758720307844e-06,5.999531822453719e-06,5.973655788693577e-06
9606.ENSP00000479884,1.512276753601327e-06,1.6222035128521384e-06,1.6283557897622811e-06
9606.ENSP00000378230,1.2979359780729284e-05,1.1992677173111588e-05,1.1947133316425608e-05
9606.ENSP00000351346,5.275458170217462e-05,5.275664443615824e-05,5.267245433060452e-05
9606.ENSP00000006275,4.106822962057777e-05,3.7161331420065835e-05,3.693269900395535e-05
9606.ENSP00000442460,8.096573583316058e-05,7.364150224020705e-05,7.33145498088561e-05
9606.ENSP00000376472,9.340615360997616e-05,9.907992352964357e-05,9.934683475876228e-05
9606.ENSP00000247194,1.332354349870002e-05,1.356614666292444e-05,1.357351902697701e-05
9606.ENSP00000370013,5.676751243299805e-06,5.4387314776249696e-06,5.429973043646896e-06
9606.ENSP00000011653,0.0001514892937848,0.00012786143634,0.0001270862412638
9606.ENSP00000233202,1.3087542356515767e-05,1.2511202839959878e-05,1.2488973879953846e-05
9606.ENSP00000386357,8.577650442020968e-05,9.08106449060142e-05,9.11960960365832e-05
9606.ENSP00000009041,4.25877215093351e-06,3.819494850176852e-06,3.8015105019439943e-06
9606.ENSP00000388920,6.33716217635083e-06,6.503581971628591e-06,6.5148965404659975e-06
9606.ENSP00000216027,0.0004371524846646,0.0004266210016794,0.0004262332513462
9606.ENSP00000259206,9.443057933822274e-06,8.717784112377558e-06,8.688507477927487e-06
9606.ENSP00000349467,0.0004631057672668,0.0004537666391115,0.0004528737335931
9606.ENSP00000276651,1.7336375094600953e-05,1.6345711628673598e-05,1.629141297598835e-05
9606.ENSP00000407067,3.775310324272141e-05,4.4703512685373425e-05,4.504863318288699e-05
9606.ENSP00000261211,0.000190367209143,0.0001969315053429,0.0001970863668248
9606.ENSP00000322730,2.1521667804336175e-05,1.9098288248642348e-05,1.900790084619075e-05
9606.ENSP00000264883,8.201951277442276e-05,8.461938705295324e-05,8.469727617921308e-05
9606.ENSP00000393952,1.594878085597884e-06,1.6274667586912983e-06,1.6288144024656503e-06
9606.ENSP00000304586,3.9842700061853975e-05,4.0213617467088625e-05,4.018075924250297e-05
9606.ENSP00000477341,0.0001370366371702,0.0001243910955963,0.0001238221593666
9606.ENSP00000384616,4.494979748415062e-06,4.352687483333284e-06,4.34403136750916e-06
9606.ENSP00000462664,7.74065192672424e-05,8.389021968469024e-05,8.414620242547244e-05
9606.ENSP00000346599,5.703163697035052e-05,6.166822277009487e-05,6.188688712427393e-05
9606.ENSP00000322706,4.7791625547688454e-05,4.727441773866303e-05,4.7238925617421046e-05
9606.ENSP00000296438,3.4132390283048153e-06,3.2604900752630783e-06,3.2578502668911824e-06
9606.ENSP00000303222,5.514614167623222e-05,5.221894753049128e-05,5.212782707531005e-05
9606.ENSP00000323435,1.0402687621535732e-05,9.80483673629351e-06,9.77469881036086e-06
