protein,RWR_positive_0.6_0.1,RWR_positive_0.6_0.2,RWR_positive_0.6_0.3,RWR_positive_0.6_0.4,RWR_positive_0.6_0.5,RWR_positive_0.6_0.6,RWR_positive_0.6_0.7,RWR_positive_0.6_0.8,RWR_positive_0.6_0.9,RWR_positive_0.6_1.0,Target,label
9606.ENSP00000288111,1.1263188923483434e-05,4.4982010329520975e-05,4.4982010329520975e-05,6.1012013888734304e-05,9.067191031537102e-05,9.402212735428166e-05,0.0012436361352555,0.0012436361352555,0.0012473090547292,0.0012539982673562,9606.ENSP00000358840,0
9606.ENSP00000216254,0.0002313848358304,0.0003071853866622,0.0003071853866622,0.000378028237833,0.0006217378822266,0.0008062713362178,0.0010422842251567,0.0010422842251567,0.0010918049714213,0.001147190816718,9606.ENSP00000358840,0
9606.ENSP00000387262,0.0001328553750724,0.0002289230844053,0.0002289230844053,0.0002406228385068,0.0003942089970996,0.0007098172879911,0.0060773566291289,0.0060773566291289,0.0061286349297429,0.0061899301049898,9606.ENSP00000358840,0
9606.ENSP00000368318,1.016503642007523e-05,2.241328779621097e-05,2.241328779621097e-05,2.4277476180174977e-05,0.000204553746773,0.0002076665956458,0.0002122430708378,0.0002122430708378,0.0002154088682094,0.000220386154568,9606.ENSP00000358840,0
9606.ENSP00000273986,8.975739150828636e-05,0.0001250868083571,0.0001250868083571,0.0001318647386167,0.0002298955535158,0.0002456143482354,0.0003024050486488,0.0003024050486488,0.0005098450573733,0.0006950676560328,9606.ENSP00000358840,0
9606.ENSP00000264093,0.0001805447120161,0.0002326704350294,0.0002326704350294,0.0002652050909418,0.0004204965505672,0.0005929936015979,0.0007268274470846,0.0007268274470846,0.000769885774568,0.000848421362955,9606.ENSP00000358840,0
9606.ENSP00000315118,0.000698773002869,0.0008123037677411,0.0008123037677411,0.0008194999590345,0.0068954232317548,0.0069001713629284,0.0069547039045013,0.0069547039045013,0.006991317721441,0.0070693913011362,9606.ENSP00000358840,0
9606.ENSP00000264193,8.750748069324126e-06,3.255668573521302e-05,3.255668573521302e-05,8.572843883454386e-05,0.000121472088406,0.0001235235050784,0.0001404604647412,0.0001404604647412,0.0003772160553289,0.0003875301734953,9606.ENSP00000358840,0
9606.ENSP00000302037,4.773372643857813e-06,7.418560988544207e-06,7.418560988544207e-06,8.57494952946337e-06,4.6984342767881064e-05,0.0001918261206109,0.0002413837597347,0.0002413837597347,0.0002724445659653,0.0002984298046627,9606.ENSP00000358840,0
9606.ENSP00000301329,1.0547233222871433e-05,4.6665589882091e-05,4.6665589882091e-05,0.0001135900704987,0.0001897103729056,0.0001938903374833,0.0002339790629651,0.0002339790629651,0.0002381743816646,0.0002526440700741,9606.ENSP00000358840,1
