protein,RWR_positive_0.4_0.1,RWR_positive_0.4_0.2,RWR_positive_0.4_0.3,RWR_positive_0.4_0.4,RWR_positive_0.4_0.5,RWR_positive_0.4_0.6,RWR_positive_0.4_0.7,RWR_positive_0.4_0.8,RWR_positive_0.4_0.9,RWR_positive_0.4_1.0,Target,label
9606.ENSP00000351214,0.0001072688687168,0.0001893682148604,0.0002776918838329,0.0003054122687676,0.0005560129410978,0.0006637750402039,0.0007078303662065,0.0008322477903107,0.0008939384126296,0.0029591873768648,9606.ENSP00000268379,0
9606.ENSP00000263702,4.284720243694354e-05,0.0001497360210519,0.0002240321603313,0.0002506845932818,0.0002762883470334,0.0003723988768737,0.0003981281605511,0.0004476359423054,0.0005057395744118,0.0005704031858201,9606.ENSP00000268379,0
9606.ENSP00000403987,1.0886831741229826e-06,4.415356730327906e-06,5.55725088814606e-06,5.747380346392167e-06,6.3811029317005305e-06,7.6370131424567e-06,7.877869604202289e-06,8.67588687832906e-06,1.1407641335713283e-05,1.2993766600346624e-05,9606.ENSP00000268379,1
9606.ENSP00000406933,0.0001405556337575,0.0003809696899725,0.0004682814548854,0.0004771994207791,0.0005118849101709,0.0016795988942142,0.0017003292381419,0.0017442606242901,0.0022690007463155,0.0023395678800617,9606.ENSP00000268379,0
9606.ENSP00000317177,1.7181459273055313e-05,3.457147073152973e-05,7.11041778712814e-05,7.433011541834589e-05,9.337827438943748e-05,0.0001568849816309,0.000161297188249,0.0001872606094603,0.0001999223515548,0.0006846055744226,9606.ENSP00000268379,0
9606.ENSP00000441065,0.000159386113943,0.0003843334933884,0.0005434014356398,0.0006244143802957,0.0012708089754509,0.0024405503037278,0.0025579369164025,0.0026250051448989,0.0026847992813135,0.002909861779427,9606.ENSP00000268379,0
9606.ENSP00000360268,0.0003059478482674,0.0005379639460786,0.0019730860431327,0.001997269171411,0.0020659410067812,0.0033040023363702,0.003427483054421,0.0035931893775794,0.0037993755810877,0.0039784985935786,9606.ENSP00000268379,0
9606.ENSP00000288532,0.0040232567718487,0.0043449146661694,0.0166904302999798,0.0167879976743306,0.0169027395197013,0.0185139020414027,0.018601618777981,0.0187355354503973,0.0188065379038857,0.0189325864065486,9606.ENSP00000268379,0
9606.ENSP00000429168,3.154518548861033e-05,4.862739038999672e-05,6.688269910888325e-05,8.349647315048354e-05,9.647916553376588e-05,0.000574321976713,0.000618901880329,0.0006751695241375,0.0007510873853044,0.0007989923206893,9606.ENSP00000268379,1
9606.ENSP00000238561,0.0001332672473997,0.0001809088546725,0.001178351420225,0.0012062399584678,0.0012439847336384,0.0014116856716048,0.0014351328357758,0.0015268578110338,0.001573957369391,0.00171799470879,9606.ENSP00000268379,1
9606.ENSP00000386543,0.0032831775548702,0.0034366688092024,0.0034895953187287,0.0034949891167521,0.0035326723906126,0.0036212964349561,0.0036471322444621,0.0036644703460839,0.0037107623522369,0.0037326953697234,9606.ENSP00000268379,0
9606.ENSP00000317379,0.0002316968691579,0.0006289372440695,0.0009873774663137,0.0010607135461608,0.0012727457411838,0.0027893884187337,0.0028989376163902,0.002998396985954,0.0030665171202441,0.0033080559559235,9606.ENSP00000268379,0
9606.ENSP00000355741,0.0003151629045098,0.0005377270166892,0.0016805753148476,0.0017542794098175,0.0018741782702741,0.0034369842397436,0.0068203937453298,0.0069324522388376,0.0070320876845945,0.0073012291301382,9606.ENSP00000268379,1
9606.ENSP00000327070,0.0020165434533639,0.0028864723013434,0.0043774560761649,0.0046522472214308,0.0051335117735279,0.0056647732528176,0.0058733157744705,0.0060855682812089,0.0066913763583413,0.0073488982010828,9606.ENSP00000268379,0
9606.ENSP00000469981,0.0001016706144281,0.0001737200030921,0.0002585339489408,0.0002720691533822,0.0003147343794265,0.0003794950220924,0.0003915202903331,0.000577143413648,0.0008082930006035,0.0009582280384313,9606.ENSP00000268379,1
9606.ENSP00000337358,4.193611931613107e-05,6.81512449748954e-05,0.0001223584115065,0.000129477266812,0.0002975502592464,0.0003790042737345,0.0004161230573729,0.0004637181156859,0.000533828245174,0.0005865478863272,9606.ENSP00000268379,1
9606.ENSP00000370882,0.0010565722886002,0.0014736259674521,0.0021400385273434,0.0046113387687736,0.0049543083071049,0.0067109078443307,0.0068671037884211,0.0071526468695078,0.0072407948553752,0.0113180278309442,9606.ENSP00000268379,0
