Enesembl ID	Gene	RNA line ab	RNA type ab	protein type ab
ENSG00000013563	DNASE1L1	7.5	7.3	Low
ENSG00000013573	DDX11	20.5	5.5	Not detected
ENSG00000013583	HEBP1	60.1	134.6	Not detected
ENSG00000013588	GPRC5A	1.9	0.2	Not detected
ENSG00000013619	MAMLD1	0.2	3.9	Low
ENSG00000013725	CD6	0.0	1.3	Not detected
ENSG00000013810	TACC3	66.6	5.3	Not detected
ENSG00000014123	UFL1	19.8	56.2	Medium
ENSG00000014138	POLA2	10.6	2.4	Low
ENSG00000014164	ZC3H3	14.4	9.1	Medium
ENSG00000014216	CAPN1	85.3	33.1	Low
ENSG00000014257	ACP3	0.2	0.0	Not detected
ENSG00000014641	MDH1	326.3	196.7	Medium
ENSG00000014824	SLC30A9	9.7	21.8	Medium
ENSG00000014914	MTMR11	0.6	1.6	Not detected
ENSG00000014919	COX15	30.8	27.9	Medium
ENSG00000015133	CCDC88C	8.5	0.8	Not detected
ENSG00000015153	YAF2	6.5	112.2	Low
ENSG00000015171	ZMYND11	42.7	31.9	
ENSG00000015285	WAS	0.0	3.5	Not detected
ENSG00000015413	DPEP1	32.4	0.0	Not detected
ENSG00000015475	BID	66.4	52.3	Low
ENSG00000280987	MATR3	111.5	0.2	High
ENSG00000015520	NPC1L1	17.8	33.9	Medium
ENSG00000015532	XYLT2	17.8	6.1	
ENSG00000015568	RGPD5	7.1	0.5	Low
ENSG00000015592	STMN4	0.0	0.0	
ENSG00000015676	NUDCD3	2.6	30.4	Low
ENSG00000016082	ISL1	0.0	0.0	Medium
ENSG00000016391	CHDH	76.3	42.1	Low
ENSG00000016402	IL20RA	0.0	0.0	Not detected
ENSG00000016490	CLCA1	0.0	0.0	Not detected
ENSG00000016602	CLCA4	0.1	0.0	Not detected
ENSG00000016864	GLT8D1	84.7	39.3	High
ENSG00000017260	ATP2C1	34.9	25.2	Low
ENSG00000017427	IGF1	0.0	240.9	Not detected
ENSG00000017483	SLC38A5	94.3	0.3	Not detected
ENSG00000017797	RALBP1	30.8	95.6	Low
ENSG00000018189	RUFY3	11.5	26.0	Low
ENSG00000018236	CNTN1	0.0	0.0	Not detected
ENSG00000018280	SLC11A1	0.2	6.6	Not detected
ENSG00000018408	WWTR1	53.2	22.5	Medium
ENSG00000018510	AGPS	67.6	32.5	Low
ENSG00000018610	CXorf56	15.8	7.7	Medium
ENSG00000018625	ATP1A2	0.7	0.0	Low
ENSG00000018699	TTC27	36.5	3.2	High
ENSG00000018869	ZNF582	1.1	4.6	Not detected
ENSG00000019102	VSIG2	6.2	0.2	Low
ENSG00000019144	PHLDB1	5.4	0.5	Low
ENSG00000019169	MARCO	0.0	3.6	Not detected
ENSG00000019186	CYP24A1	100.8	0.0	Not detected
ENSG00000019485	PRDM11	3.6	0.7	High
ENSG00000019505	SYT13	0.1	0.0	Medium
ENSG00000019549	SNAI2	0.3	7.9	Medium
ENSG00000019582	CD74	198.2	48.0	Not detected
ENSG00000019991	HGF	0.2	0.0	Low
ENSG00000019995	ZRANB1	13.8	41.9	Low
ENSG00000020129	NCDN	11.2	3.9	Not detected
ENSG00000020181	ADGRA2	0.2	0.8	
ENSG00000020256	ZFP64	20.2	5.6	
ENSG00000020426	MNAT1	45.4	29.9	Not detected
ENSG00000020577	SAMD4A	10.0	61.4	Low
ENSG00000020633	RUNX3	0.3	1.2	Not detected
ENSG00000020922	MRE11	20.7	5.6	Medium
ENSG00000021300	PLEKHB1	106.7	0.1	
ENSG00000021355	SERPINB1	34.0	21.2	Not detected
ENSG00000021461	CYP3A43	2.6	3.8	Medium
ENSG00000021488	SLC7A9	6.7	12.7	Not detected
ENSG00000021574	SPAST	17.6	9.1	Medium
ENSG00000021645	NRXN3	0.0	0.1	Not detected
ENSG00000021762	OSBPL5	0.0	0.7	Medium
ENSG00000021776	AQR	5.5	15.5	
ENSG00000021826	CPS1	17.0	1781.9	High
ENSG00000021852	C8B	9.2	250.0	Medium
ENSG00000022267	FHL1	0.2	6.8	Not detected
ENSG00000022277	RTF2	134.5	64.0	Not detected
ENSG00000022355	GABRA1	0.0	0.0	Not detected
ENSG00000022556	NLRP2	0.2	0.0	
ENSG00000022567	SLC45A4	0.0	0.0	Low
ENSG00000022840	RNF10	109.6	52.2	Medium
ENSG00000022976	ZNF839	8.9	4.9	Medium
ENSG00000023041	ZDHHC6	38.1	22.2	Not detected
ENSG00000023171	GRAMD1B	0.6	0.0	Low
ENSG00000023191	RNH1	56.2	71.8	Not detected
ENSG00000023228	NDUFS1	72.5	89.9	Low
ENSG00000023287	RB1CC1	19.7	44.3	Not detected
ENSG00000023318	ERP44	21.1	65.7	
ENSG00000023330	ALAS1	49.5	270.9	Medium
ENSG00000023445	BIRC3	1.8	2.9	Low
ENSG00000023516	AKAP11	7.6	19.1	Medium
ENSG00000023572	GLRX2	34.7	42.6	Medium
ENSG00000023608	SNAPC1	8.4	5.7	
ENSG00000023697	DERA	53.3	53.4	
ENSG00000023734	STRAP	135.4	83.6	Medium
ENSG00000023839	ABCC2	172.2	215.9	High
ENSG00000023892	DEF6	10.5	1.7	Not detected
ENSG00000023902	PLEKHO1	9.1	1.0	
ENSG00000023909	GCLM	29.9	103.5	Medium
ENSG00000024048	UBR2	16.6	30.3	Medium
ENSG00000024422	EHD2	0.5	2.7	Not detected
ENSG00000024526	DEPDC1	10.1	1.9	Not detected
ENSG00000024862	CCDC28A	19.9	55.8	Low
ENSG00000025039	RRAGD	0.2	12.0	Low
ENSG00000025156	HSF2	22.2	4.9	Not detected
