protein,RNA line ab,binary_RNA line ab
9606.ENSP00000219069,38.6,1
9606.ENSP00000219070,1.2,1
9606.ENSP00000219097,57.9,1
9606.ENSP00000219139,23.7,1
9606.ENSP00000219150,5.2,1
9606.ENSP00000219162,0,0
9606.ENSP00000219169,235.4,1
9606.ENSP00000219197,2.5,1
9606.ENSP00000219204,60.3,1
9606.ENSP00000219207,3.3,1
9606.ENSP00000219235,0.1,1
9606.ENSP00000219240,13.7,1
9606.ENSP00000219244,0,0
9606.ENSP00000219252,111.9,1
9606.ENSP00000219255,5.2,1
9606.ENSP00000219271,5.1,1
9606.ENSP00000219281,58.2,1
9606.ENSP00000219299,0.7,1
9606.ENSP00000219301,0,0
9606.ENSP00000219302,1.3,1
9606.ENSP00000219313,135,1
9606.ENSP00000219315,9,1
9606.ENSP00000219334,0,0
9606.ENSP00000219345,8.5,1
9606.ENSP00000219368,48.6,1
9606.ENSP00000219400,52.5,1
9606.ENSP00000219406,3.9,1
9606.ENSP00000219409,7.6,1
9606.ENSP00000219431,13.1,1
9606.ENSP00000219439,31.1,1
9606.ENSP00000219454,0,0
9606.ENSP00000219476,17.5,1
9606.ENSP00000219478,4.5,1
9606.ENSP00000219479,145,1
9606.ENSP00000219481,2.1,1
9606.ENSP00000219548,73,1
9606.ENSP00000219596,0,0
9606.ENSP00000219599,5.4,1
9606.ENSP00000219611,2,1
9606.ENSP00000219660,0,0
9606.ENSP00000219689,8.7,1
9606.ENSP00000219746,22.1,1
9606.ENSP00000219782,494.2,1
9606.ENSP00000219789,38.7,1
9606.ENSP00000219833,0,0
9606.ENSP00000219837,38.9,1
9606.ENSP00000219905,25.9,1
9606.ENSP00000219919,0,0
9606.ENSP00000220003,87.2,1
9606.ENSP00000220058,3.3,1
9606.ENSP00000220062,0,0
9606.ENSP00000220166,5.2,1
9606.ENSP00000220325,13.9,1
9606.ENSP00000220420,0,0
9606.ENSP00000220429,37.2,1
9606.ENSP00000220478,0.1,1
9606.ENSP00000220496,24.4,1
9606.ENSP00000220507,4.5,1
9606.ENSP00000220509,23.4,1
9606.ENSP00000220514,35.7,1
9606.ENSP00000220531,41.7,1
9606.ENSP00000220562,34.5,1
9606.ENSP00000220592,26.2,1
9606.ENSP00000220597,0.1,1
9606.ENSP00000220616,0,0
